"postal_code","geographic_unit_name","geographic_unit_fips","results","county_fips"
"TX","Haskell","48207",2013,"48207"
"TX","Hays","48209",59011,"48209"
"TX","Hemphill","48211",1509,"48211"
"TX","Henderson","48213",27627,"48213"
"TX","Hidalgo","48215",139159,"48215"
"TX","Hill","48217",12045,"48217"
"TX","Hockley","48219",7134,"48219"
"TX","Hood","48221",22535,"48221"
"TX","Hopkins","48223",12753,"48223"
"TX","Houston","48225",8214,"48225"
"TX","Howard","48227",8695,"48227"
"TX","Hudspeth","48229",863,"48229"
"TX","Hunt","48231",28049,"48231"
"TX","Hutchinson","48233",7928,"48233"
"TX","Irion","48235",788,"48235"
"TX","Jack","48237",2908,"48237"
"TX","Jackson","48239",5025,"48239"
"TX","Jasper","48241",13517,"48241"
"TX","Jeff Davis","48243",1192,"48243"
"TX","Jefferson","48245",88627,"48245"
"TX","Jim Hogg","48247",1667,"48247"
"TX","Jim Wells","48249",11166,"48249"
"TX","Johnson","48251",48838,"48251"
"TX","Jones","48253",5567,"48253"
"TX","Karnes","48255",4185,"48255"
"TX","Kaufman","48257",34670,"48257"
"TX","Kendall","48259",17783,"48259"
"TX","Kenedy","48261",167,"48261"
"TX","Kent","48263",405,"48263"
"TX","Kerr","48265",21879,"48265"
"TX","Kimble","48267",1892,"48267"
"TX","King","48269",145,"48269"
"TX","Kinney","48271",1425,"48271"
"TX","Kleberg","48273",8907,"48273"
"TX","Knox","48275",1510,"48275"
"TX","Lamar","48277",17197,"48277"
"TX","Lamb","48279",4091,"48279"
"TX","Lampasas","48281",7204,"48281"
"TX","La Salle","48283",1646,"48283"
"TX","Lavaca","48285",8294,"48285"
"TX","Lee","48287",6221,"48287"
"TX","Leon","48289",6945,"48289"
"TX","Liberty","48291",22746,"48291"
"TX","Limestone","48293",7563,"48293"
"TX","Lipscomb","48295",1168,"48295"
"TX","Live Oak","48297",4113,"48297"
"TX","Llano","48299",9558,"48299"
"TX","Loving","48301",64,"48301"
"TX","Lubbock","48303",91184,"48303"
"TX","Lynn","48305",1959,"48305"
"TX","McCulloch","48307",2993,"48307"
"TX","McLennan","48309",74541,"48309"
"TX","McMullen","48311",503,"48311"
"TX","Madison","48313",4028,"48313"
"TX","Marion","48315",4282,"48315"
"TX","Martin","48317",1624,"48317"
"TX","Mason","48319",1968,"48319"
"TX","Matagorda","48321",12133,"48321"
"TX","Maverick","48323",10563,"48323"
"TX","Medina","48325",16049,"48325"
"TX","Menard","48327",849,"48327"
"TX","Midland","48329",44597,"48329"
"TX","Milam","48331",8230,"48331"
